"stock_id","brood_yr","stock","jurisdiction","region","ocean_region","sub_region","lat","lon","recruits","spawners","R_ocean_1","R_ocean_2","R_ocean_3","R_ocean_4","R_ocean_5","R0.1","R0.2","R0.3","R0.4","R0.5","R1.1","R1.2","R1.3","R1.4","R1.5","R2.1","R2.2","R2.3","R2.4","R3.1","R3.2","R3.3","R3.4","R4.1","R4.2","R4.3","R2.5"
103,1951,"Bowron","BC","Fraser River","WC","Fraser Early Summer",49.12,-123.06,103821,10039,378,103443,0,0,0,0,0,0,0,0,378,103443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1952,"Bowron","BC","Fraser River","WC","Fraser Early Summer",49.12,-123.06,43304,8568,8,36992,6304,0,0,0,0,0,0,0,8,36992,6304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1953,"Bowron","BC","Fraser River","WC","Fraser Early Summer",49.12,-123.06,75579,5734,3,70599,4977,0,0,0,0,0,0,0,3,70599,4977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1954,"Bowron","BC","Fraser River","WC","Fraser Early Summer",49.12,-123.06,66916,4566,652,62971,3293,0,0,0,0,0,0,0,652,62971,3293,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1955,"Bowron","BC","Fraser River","WC","Fraser Early Summer",49.12,-123.06,96955,4471,43,92623,4289,0,0,0,0,0,0,0,43,92623,4289,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1956,"Bowron","BC","Fraser River","WC","Fraser Early Summer",49.12,-123.06,38484,3639,0,28324,10160,0,0,0,0,0,0,0,0,27586,10160,0,0,0,738,0,0,0,0,0,0,0,0,0,0
103,1957,"Bowron","BC","Fraser River","WC","Fraser Early Summer",49.12,-123.06,41966,6416,0,41008,958,0,0,0,0,0,0,0,0,41008,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1958,"Bowron","BC","Fraser River","WC","Fraser Early Summer",49.12,-123.06,18155,8297,43,17945,167,0,0,0,0,0,0,0,43,17945,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1959,"Bowron","BC","Fraser River","WC","Fraser Early Summer",49.12,-123.06,61865,14614,11,56454,5400,0,0,0,0,0,0,0,11,56454,5400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1960,"Bowron","BC","Fraser River","WC","Fraser Early Summer",49.12,-123.06,17733,3506,4,17278,451,0,0,0,0,0,0,0,4,17278,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0
